                      $c_{A0}$;                       $Q_{1}$;                       $T_{1}$;                           $L$;                       $c_{A}$;                       $c_{B}$;                       $T_{2}$;                       $Q_{5}$;                       $Q_{4}$;                       $T_{3}$;                       $h_{7}$;                       $u_{1}$;                 $u_{3}=m_{2}$;                       $u_{2}$;                       $r_{1}$;                       $r_{2}$;                       $r_{3}$;                       $r_{4}$;                         CLASS
    0.20168E+02;    0.24957E+00;    0.30018E+02;    0.20000E+01;    0.28430E+01;    0.17178E+02;    0.79840E+02;    0.90447E+00;    0.25150E+00;    0.19876E+02;    0.56644E+05;    0.25433E+02;    0.40610E+02;    0.90781E+00;   -0.36058E-02;    0.38170E-02;    0.53689E-03;   -0.67592E-01;normal
    0.20126E+02;    0.25057E+00;    0.29715E+02;    0.19939E+01;    0.28407E+01;    0.16826E+02;    0.80221E+02;    0.90433E+00;    0.24943E+00;    0.19894E+02;    0.56808E+05;    0.25299E+02;    0.40491E+02;    0.90756E+00;   -0.12205E-01;    0.51980E-02;   -0.92079E-03;   -0.13048E+01;normal
    0.19981E+02;    0.25092E+00;    0.29935E+02;    0.19851E+01;    0.28521E+01;    0.17061E+02;    0.79752E+02;    0.88692E+00;    0.24758E+00;    0.19859E+02;    0.55593E+05;    0.25442E+02;    0.40877E+02;    0.89745E+00;   -0.25471E-01;   -0.11582E-01;   -0.33820E-02;   -0.84345E+00;normal
    0.20218E+02;    0.25060E+00;    0.30223E+02;    0.20162E+01;    0.28342E+01;    0.17048E+02;    0.79919E+02;    0.89571E+00;    0.25023E+00;    0.20060E+02;    0.56095E+05;    0.25809E+02;    0.40504E+02;    0.90339E+00;    0.21203E-01;    0.19321E-02;   -0.24408E-02;   -0.18311E-02;normal
    0.19863E+02;    0.24981E+00;    0.29725E+02;    0.20170E+01;    0.28237E+01;    0.17120E+02;    0.80004E+02;    0.91129E+00;    0.25120E+00;    0.20145E+02;    0.56316E+05;    0.24872E+02;    0.40579E+02;    0.91141E+00;    0.21528E-01;    0.13990E-01;    0.27225E-02;    0.19131E+00;normal
    0.19907E+02;    0.24745E+00;    0.29770E+02;    0.20177E+01;    0.28361E+01;    0.17049E+02;    0.79981E+02;    0.90222E+00;    0.25197E+00;    0.20211E+02;    0.55772E+05;    0.25270E+02;    0.40650E+02;    0.90302E+00;    0.23012E-01;    0.76084E-02;    0.16929E-02;    0.36603E-01;normal
    0.19863E+02;    0.25286E+00;    0.30161E+02;    0.19967E+01;    0.28318E+01;    0.17153E+02;    0.79849E+02;    0.90479E+00;    0.24889E+00;    0.19812E+02;    0.56248E+05;    0.25441E+02;    0.40457E+02;    0.90742E+00;   -0.80315E-02;    0.10903E-01;   -0.20940E-02;   -0.26942E+00;normal
    0.20081E+02;    0.25194E+00;    0.29906E+02;    0.19936E+01;    0.28685E+01;    0.17103E+02;    0.79884E+02;    0.90311E+00;    0.24931E+00;    0.19831E+02;    0.56407E+05;    0.24932E+02;    0.40606E+02;    0.90912E+00;   -0.12907E-01;    0.44411E-02;    0.61883E-03;   -0.41026E+00;normal
    0.20121E+02;    0.25059E+00;    0.29847E+02;    0.20171E+01;    0.28833E+01;    0.17051E+02;    0.80059E+02;    0.89640E+00;    0.25126E+00;    0.20117E+02;    0.57153E+05;    0.25123E+02;    0.40615E+02;    0.89783E+00;    0.22029E-01;   -0.84101E-02;    0.16428E-02;    0.17583E+00;normal
    0.19814E+02;    0.24915E+00;    0.29960E+02;    0.20043E+01;    0.28653E+01;    0.17410E+02;    0.80084E+02;    0.89535E+00;    0.24964E+00;    0.20187E+02;    0.56308E+05;    0.25776E+02;    0.40780E+02;    0.88814E+00;    0.29324E-02;   -0.66250E-02;   -0.28540E-02;    0.82252E+00;normal
    0.20143E+02;    0.25223E+00;    0.30043E+02;    0.20078E+01;    0.28359E+01;    0.17037E+02;    0.79990E+02;    0.89837E+00;    0.24930E+00;    0.19965E+02;    0.55892E+05;    0.25181E+02;    0.40691E+02;    0.89966E+00;    0.84129E-02;    0.18340E-02;   -0.54898E-03;   -0.29037E+00;normal
    0.20013E+02;    0.25256E+00;    0.30086E+02;    0.20035E+01;    0.28279E+01;    0.17141E+02;    0.80223E+02;    0.90523E+00;    0.24443E+00;    0.20013E+02;    0.56408E+05;    0.24953E+02;    0.40617E+02;    0.88742E+00;    0.14197E-02;    0.62867E-02;   -0.43840E-02;   -0.13773E+00;normal
    0.20080E+02;    0.24952E+00;    0.30025E+02;    0.20144E+01;    0.28122E+01;    0.17180E+02;    0.80090E+02;    0.89496E+00;    0.25071E+00;    0.20244E+02;    0.56984E+05;    0.24960E+02;    0.40499E+02;    0.89993E+00;    0.17759E-01;   -0.57599E-02;    0.18339E-02;    0.25816E+00;normal
    0.20037E+02;    0.24985E+00;    0.29802E+02;    0.20000E+01;    0.28126E+01;    0.17290E+02;    0.79918E+02;    0.89884E+00;    0.25260E+00;    0.19974E+02;    0.56076E+05;    0.25116E+02;    0.40396E+02;    0.89874E+00;   -0.43383E-02;    0.77626E-02;    0.30586E-02;    0.14693E+00;normal
    0.19843E+02;    0.25074E+00;    0.29961E+02;    0.19865E+01;    0.28846E+01;    0.17007E+02;    0.80048E+02;    0.89045E+00;    0.25431E+00;    0.20130E+02;    0.55334E+05;    0.25001E+02;    0.40933E+02;    0.91213E+00;   -0.24179E-01;   -0.72732E-02;    0.53209E-02;   -0.88297E+00;normal
    0.19778E+02;    0.25250E+00;    0.30010E+02;    0.19914E+01;    0.28528E+01;    0.17108E+02;    0.80081E+02;    0.90413E+00;    0.25052E+00;    0.20118E+02;    0.56177E+05;    0.24745E+02;    0.40706E+02;    0.90182E+00;   -0.17343E-01;    0.49487E-02;    0.26746E-02;   -0.53910E+00;normal
    0.19889E+02;    0.25122E+00;    0.30223E+02;    0.20045E+01;    0.28386E+01;    0.17299E+02;    0.80012E+02;    0.89942E+00;    0.24736E+00;    0.19998E+02;    0.55590E+05;    0.25096E+02;    0.40962E+02;    0.88812E+00;    0.24478E-02;   -0.10509E-02;   -0.20986E-02;    0.38052E+00;normal
    0.20069E+02;    0.24995E+00;    0.30088E+02;    0.19934E+01;    0.28882E+01;    0.17074E+02;    0.80003E+02;    0.89828E+00;    0.24829E+00;    0.19979E+02;    0.56026E+05;    0.25598E+02;    0.40921E+02;    0.89209E+00;   -0.14101E-01;   -0.47409E-02;   -0.33921E-02;   -0.47397E+00;normal
    0.20044E+02;    0.25327E+00;    0.30103E+02;    0.19883E+01;    0.28481E+01;    0.17063E+02;    0.79913E+02;    0.89829E+00;    0.25432E+00;    0.20019E+02;    0.56414E+05;    0.25134E+02;    0.40585E+02;    0.88593E+00;   -0.21683E-01;    0.75869E-04;    0.47293E-02;   -0.76963E+00;normal
    0.20064E+02;    0.25045E+00;    0.30038E+02;    0.19929E+01;    0.28825E+01;    0.17166E+02;    0.79946E+02;    0.89002E+00;    0.24551E+00;    0.20010E+02;    0.55764E+05;    0.24901E+02;    0.40710E+02;    0.90140E+00;   -0.14825E-01;   -0.59544E-02;   -0.30470E-02;   -0.22668E+00;normal
    0.19859E+02;    0.25137E+00;    0.29870E+02;    0.20078E+01;    0.28611E+01;    0.17205E+02;    0.80091E+02;    0.89614E+00;    0.24639E+00;    0.19723E+02;    0.56404E+05;    0.25404E+02;    0.40513E+02;    0.90232E+00;    0.78326E-02;   -0.30038E-03;   -0.44647E-02;    0.27192E+00;normal
    0.19831E+02;    0.25040E+00;    0.30263E+02;    0.19899E+01;    0.28710E+01;    0.17268E+02;    0.79925E+02;    0.90157E+00;    0.25288E+00;    0.19879E+02;    0.55753E+05;    0.26160E+02;    0.40626E+02;    0.90404E+00;   -0.18649E-01;    0.76690E-02;   -0.12789E-02;   -0.35792E-01;normal
    0.20171E+02;    0.25373E+00;    0.29746E+02;    0.19849E+01;    0.28491E+01;    0.17207E+02;    0.79962E+02;    0.89604E+00;    0.25370E+00;    0.19931E+02;    0.56306E+05;    0.25482E+02;    0.40631E+02;    0.90270E+00;   -0.26022E-01;   -0.24256E-02;    0.25591E-02;   -0.44796E+00;normal
    0.19967E+02;    0.25151E+00;    0.29834E+02;    0.20062E+01;    0.28307E+01;    0.17099E+02;    0.79967E+02;    0.89714E+00;    0.24713E+00;    0.19719E+02;    0.56100E+05;    0.24789E+02;    0.40865E+02;    0.89296E+00;    0.61462E-02;   -0.51509E-02;   -0.94604E-03;   -0.19733E+00;normal
    0.20038E+02;    0.25198E+00;    0.30213E+02;    0.19995E+01;    0.28567E+01;    0.17130E+02;    0.79899E+02;    0.89751E+00;    0.24950E+00;    0.20024E+02;    0.56414E+05;    0.24949E+02;    0.40664E+02;    0.88851E+00;   -0.36551E-02;   -0.25779E-02;    0.71851E-03;   -0.22341E+00;normal
    0.19873E+02;    0.24920E+00;    0.30173E+02;    0.20060E+01;    0.28847E+01;    0.17187E+02;    0.79724E+02;    0.89736E+00;    0.25128E+00;    0.20190E+02;    0.56212E+05;    0.25109E+02;    0.40659E+02;    0.90072E+00;    0.57459E-02;   -0.10074E-02;    0.17564E-02;    0.22436E+00;normal
    0.19997E+02;    0.24983E+00;    0.30046E+02;    0.19862E+01;    0.28426E+01;    0.17185E+02;    0.80133E+02;    0.90973E+00;    0.24878E+00;    0.20365E+02;    0.55921E+05;    0.25229E+02;    0.40802E+02;    0.89016E+00;   -0.23689E-01;    0.10345E-01;   -0.12370E-02;   -0.48394E+00;normal
    0.19907E+02;    0.25033E+00;    0.29896E+02;    0.19956E+01;    0.28709E+01;    0.17033E+02;    0.79974E+02;    0.90148E+00;    0.25118E+00;    0.20044E+02;    0.56293E+05;    0.24741E+02;    0.40543E+02;    0.90775E+00;   -0.98772E-02;    0.52023E-02;    0.33449E-02;   -0.57282E+00;normal
