c_{A0}                        ;Q_{1}                         ;T_{1}                         ;L                             ;c_{A}                         ;c_{B}                         ;T_{2}                         ;Q_{5}                         ;Q_{4}                         ;T_{3}                         ;\mathrm{PCW}                  ;\mathrm{CNT}_{1}              ;\mathrm{CNT}_{3}=SP_{Q_{5}}   ;\mathrm{CNT}_{2}              ;\mathrm{INV\ CON}             ;\mathrm{CW\ DP\ CON}          ;\mathrm{EFFL\ DP\ CON}        ;\mathrm{MOLBAL\ CON}          ;     CLASS
    0.20164E+02;    0.25238E+00;    0.29737E+02;    0.19972E+01;    0.28425E+01;    0.17185E+02;    0.79918E+02;    0.90671E+00;    0.24938E+00;    0.20072E+02;    0.56139E+05;    0.25138E+02;    0.50378E+02;    0.90083E+00;   -0.38208E-02;   -0.21237E+00;   -0.25613E-03;    0.18226E+00; 17        
    0.19723E+02;    0.25104E+00;    0.29703E+02;    0.20000E+01;    0.28415E+01;    0.17066E+02;    0.80143E+02;    0.91018E+00;    0.25315E+00;    0.19962E+02;    0.56363E+05;    0.25316E+02;    0.50729E+02;    0.90551E+00;    0.45483E-04;   -0.21868E+00;    0.27103E-02;   -0.99643E-01; 17        
    0.19880E+02;    0.25046E+00;    0.30102E+02;    0.20170E+01;    0.28539E+01;    0.16834E+02;    0.79889E+02;    0.90309E+00;    0.25307E+00;    0.20301E+02;    0.55995E+05;    0.25210E+02;    0.50538E+02;    0.89884E+00;    0.25371E-01;   -0.21798E+00;    0.30636E-02;   -0.25518E+00; 17        
    0.20019E+02;    0.25174E+00;    0.30038E+02;    0.20131E+01;    0.28460E+01;    0.17162E+02;    0.79908E+02;    0.90294E+00;    0.25404E+00;    0.20255E+02;    0.55244E+05;    0.25027E+02;    0.50580E+02;    0.90159E+00;    0.19105E-01;   -0.21147E+00;    0.48661E-02;    0.57477E+00; 17        
    0.20134E+02;    0.25103E+00;    0.30286E+02;    0.19957E+01;    0.28236E+01;    0.16995E+02;    0.79910E+02;    0.89933E+00;    0.25004E+00;    0.20078E+02;    0.55523E+05;    0.25105E+02;    0.50516E+02;    0.90136E+00;   -0.70770E-02;   -0.21654E+00;    0.55952E-03;   -0.51157E+00; 17        
    0.20077E+02;    0.24615E+00;    0.29705E+02;    0.19962E+01;    0.28272E+01;    0.17218E+02;    0.80026E+02;    0.90354E+00;    0.24948E+00;    0.19939E+02;    0.56156E+05;    0.25227E+02;    0.50659E+02;    0.90243E+00;   -0.62464E-02;   -0.22173E+00;   -0.55035E-03;    0.18716E+00; 17        
    0.19802E+02;    0.25081E+00;    0.30048E+02;    0.20016E+01;    0.28154E+01;    0.17225E+02;    0.79721E+02;    0.90239E+00;    0.25312E+00;    0.20283E+02;    0.55645E+05;    0.25160E+02;    0.50428E+02;    0.89613E+00;    0.14913E-02;   -0.21282E+00;    0.33825E-02;    0.33074E+00; 17        
    0.19958E+02;    0.24987E+00;    0.29934E+02;    0.19989E+01;    0.28501E+01;    0.17161E+02;    0.79897E+02;    0.89982E+00;    0.25034E+00;    0.20050E+02;    0.56637E+05;    0.25045E+02;    0.50336E+02;    0.89535E+00;   -0.28444E-02;   -0.22330E+00;    0.11234E-02;    0.16401E+00; 17        
    0.20073E+02;    0.25210E+00;    0.29949E+02;    0.20019E+01;    0.28111E+01;    0.17116E+02;    0.79936E+02;    0.89918E+00;    0.24807E+00;    0.20039E+02;    0.56903E+05;    0.24930E+02;    0.50462E+02;    0.89999E+00;    0.14673E-02;   -0.22930E+00;   -0.63658E-03;   -0.90592E-02; 17        
    0.19773E+02;    0.25015E+00;    0.29959E+02;    0.20067E+01;    0.28749E+01;    0.16974E+02;    0.80025E+02;    0.89552E+00;    0.25105E+00;    0.19889E+02;    0.56396E+05;    0.25466E+02;    0.50347E+02;    0.89823E+00;    0.86555E-02;   -0.22545E+00;   -0.72368E-04;   -0.99086E-01; 17        
